old_id,distID,district,dead,injured
44,1,Achham,0,0
71,2,Arghakhanchi,0,0
1,3,Baglung,0,0
40,4,Baitadi,0,0
45,5,Bajhang,0,0
46,6,Bajura,0,0
49,7,Banke,0,0
19,8,Bara,5,39
50,9,Bardiya,0,0
5,10,Bhaktapur,241,966
24,11,Bhojpur,2,4
23,12,Chitawan,5,17
41,13,Dadeldhura,0,0
51,14,Dailekh,0,0
59,15,Dang,0,0
42,16,Darchula,0,0
6,17,Dhading,303,293
25,18,Dhankuta,0,2
13,19,Dhanusa,1,13
14,20,Dolakha,50,68
54,21,Dolpa,0,0
47,22,Doti,0,0
64,23,Gorkha,223,205
72,24,Gulmi,0,0
55,25,Humla,0,0
30,26,Ilam,0,2
52,27,Jajarkot,0,0
31,28,Jhapa,0,1
56,29,Jumla,0,0
48,30,Kailali,0,0
57,31,Kalikot,0,0
43,32,Kanchanpur,0,0
70,33,Kapilbastu,0,0
65,34,Kaski,0,0
7,35,Kathmandu,1029,2400
8,36,Kavrepalanchok,241,761
34,37,Khotang,0,3
9,38,Lalitpur,157,886
66,39,Lamjung,0,0
15,40,Mahottari,0,7
20,41,Makwanpur,35,95
67,42,Manang,0,0
26,43,Morang,2,24
58,44,Mugu,0,0
2,45,Mustang,0,0
3,46,Myagdi,0,4
73,47,Nawalparasi,0,0
10,48,Nuwakot,448,205
35,49,Okhaldhunga,17,9
74,50,Palpa,0,0
32,51,Panchthar,0,3
4,52,Parbat,0,9
21,53,Parsa,3,22
60,54,Pyuthan,0,0
16,55,Ramechhap,27,22
11,56,Rasuwa,250,450
22,57,Rautahat,1,18
61,58,Rolpa,0,0
62,59,Rukum,0,0
75,60,Rupandehi,0,0
63,61,Salyan,0,0
27,62,Sankhuwasabha,0,0
36,63,Saptari,0,8
17,64,Sarlahi,1,43
18,65,Sindhuli,9,49
12,66,Sindhupalchok,1176,736
37,67,Siraha,0,7
38,68,Solukhumbu,22,78
28,69,Sunsari,7,18
53,70,Surkhet,0,0
68,71,Syangja,0,0
69,72,Tanahu,0,0
33,73,Taplejung,1,0
29,74,Terhathum,0,1
39,75,Udayapur,0,9