distID,district,dead,injured,GovComplete,GovPartial,OthComplete,OthPartial
1,Achham,0,,,,,
2,Arghakhanchi,0,0,,,16,77
3,Baglung,0,0,,,,44
4,Baitadi,0,,,,,
5,Bajhang,0,,,,,
6,Bajura,0,,,,,1
7,Banke,0,0,,,,81
8,Bara,5,29,,,7,60
9,Bardiya,0,2,,,,40
10,Bhaktapur,250,1886,,,,
11,Bhojpur,2,8,11,20,548,416
12,Chitawan,6,39,,,85,60
13,Dadeldhura,0,,,,,
14,Dailekh,0,0,,,,9
15,Dang,0,3,,,,175
16,Darchula,0,,,,,
17,Dhading,369,497,,,200,300
18,Dhankuta,0,2,,4,15,85
19,Dhanusa,1,19,,,85,60
20,Dolakha,54,122,,,32,62
21,Dolpa,0,0,,,1,5
22,Doti,0,,,1,,
23,Gorkha,399,1000,,,,
24,Gulmi,0,6,,,46,117
25,Humla,0,0,0,0,0,0
26,Ilam,0,2,1,7,1,33
27,Jajarkot,0,0,,,,28
28,Jhapa,0,8,1,29,1,29
29,Jumla,0,2,,,,2
30,Kailali,0,,,5,,4
31,Kalikot,0,0,0,0,0,0
32,Kanchanpur,0,,,1,,
33,Kapilbastu,0,3,,,,24
34,Kaski,2,19,,,174,132
35,Kathmandu,1039,2400,,,,
36,Kavrepalanchok,273,848,,,,
37,Khotang,0,4,,6,39,19
38,Lalitpur,159,1090,,,,
39,Lamjung,4,25,,,31,197
40,Mahottari,0,7,,,43,37
41,Makwanpur,34,103,,,251,178
42,Manang,0,1,,,5,68
43,Morang,2,33,,22,2,40
44,Mugu,0,0,0,0,0,0
45,Mustang,0,1,,,1,43
46,Myagdi,0,4,,,1,32
47,Nawalparasi,1,9,,,17,68
48,Nuwakot,638,415,,,16,
49,Okhaldhunga,17,24,1,6,37,27
50,Palpa,0,4,,,18,144
51,Panchthar,0,5,,5,5,202
52,Parbat,0,10,,,233,415
53,Parsa,5,23,,,,30
54,Pyuthan,0,6,,,3,66
55,Ramechhap,24,24,,,,
56,Rasuwa,302,700,,,,
57,Rautahat,1,18,,,,313
58,Rolpa,1,2,,,1,42
59,Rukum,1,1,,,26,50
60,Rupandehi,0,24,,,,10
61,Salyan,0,1,,,4,61
62,Sankhuwasabha,0,3,5,15,18,207
63,Saptari,0,8,,14,,47
64,Sarlahi,1,48,,,56,301
65,Sindhuli,9,49,,,1042,1638
66,Sindhupalchok,1376,502,,,,
67,Siraha,0,11,,5,,57
68,Solukhumbu,22,78,6,5,157,200
69,Sunsari,7,20,,24,2,21
70,Surkhet,0,3,,,1,20
71,Syangja,0,6,,,134,175
72,Tanahu,1,18,,,278,893
73,Taplejung,1,3,8,6,5,70
74,Terhathum,0,1,3,9,3,30
75,Udayapur,0,15,,24,33,154